solution,guesses,feedback
cribs,"['polls', 'sways', 'betas', 'wadis', 'rates', 'drabs']","[['absent', 'absent', 'absent', 'absent', 'correct'], ['absent', 'absent', 'absent', 'absent', 'correct'], ['present', 'absent', 'absent', 'absent', 'correct'], ['absent', 'absent', 'absent', 'present', 'correct'], ['present', 'absent', 'absent', 'absent', 'correct'], ['absent', 'correct', 'absent', 'correct', 'correct']]"
brows,"['bleat', 'bocks', 'buoys', 'brows']","[['correct', 'absent', 'absent', 'absent', 'absent'], ['correct', 'present', 'absent', 'absent', 'correct'], ['correct', 'absent', 'correct', 'absent', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
worry,"['slums', 'yerba', 'cordy', 'forky', 'horny', 'worry']","[['absent', 'absent', 'absent', 'absent', 'absent'], ['present', 'absent', 'correct', 'absent', 'absent'], ['absent', 'correct', 'correct', 'absent', 'correct'], ['absent', 'correct', 'correct', 'absent', 'correct'], ['absent', 'correct', 'correct', 'absent', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
onset,"['hyper', 'fused', 'nisei', 'onset']","[['absent', 'absent', 'absent', 'correct', 'absent'], ['absent', 'absent', 'correct', 'correct', 'absent'], ['present', 'absent', 'correct', 'correct', 'absent'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
quake,"['delft', 'broke', 'shake', 'quake']","[['absent', 'present', 'absent', 'absent', 'absent'], ['absent', 'absent', 'absent', 'correct', 'correct'], ['absent', 'absent', 'correct', 'correct', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
panel,"['leggy', 'taels', 'baler', 'camel', 'navel', 'panel']","[['present', 'present', 'absent', 'absent', 'absent'], ['absent', 'correct', 'present', 'present', 'absent'], ['absent', 'correct', 'present', 'correct', 'absent'], ['absent', 'correct', 'absent', 'correct', 'correct'], ['present', 'correct', 'absent', 'correct', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
scans,"['rater', 'again', 'yucca', 'llama', 'uvula', 'divas']","[['absent', 'present', 'absent', 'absent', 'absent'], ['absent', 'absent', 'correct', 'absent', 'present'], ['absent', 'absent', 'present', 'absent', 'present'], ['absent', 'absent', 'correct', 'absent', 'absent'], ['absent', 'absent', 'absent', 'absent', 'present'], ['absent', 'absent', 'absent', 'present', 'correct']]"
bells,"['ghoti', 'damps', 'reels', 'rebus', 'kerbs', 'feces']","[['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'absent', 'absent', 'absent', 'correct'], ['absent', 'correct', 'absent', 'correct', 'correct'], ['absent', 'correct', 'present', 'absent', 'correct'], ['absent', 'correct', 'absent', 'present', 'correct'], ['absent', 'correct', 'absent', 'absent', 'correct']]"
shake,"['cuppa', 'gaily', 'knead', 'asker', 'shake']","[['absent', 'absent', 'absent', 'absent', 'present'], ['absent', 'present', 'absent', 'absent', 'absent'], ['present', 'absent', 'present', 'present', 'absent'], ['present', 'present', 'present', 'present', 'absent'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
cloys,"['aquas', 'pills', 'noons', 'levis', 'colds', 'wonks']","[['absent', 'absent', 'absent', 'absent', 'correct'], ['absent', 'absent', 'present', 'absent', 'correct'], ['absent', 'absent', 'correct', 'absent', 'correct'], ['present', 'absent', 'absent', 'absent', 'correct'], ['correct', 'present', 'present', 'absent', 'correct'], ['absent', 'present', 'absent', 'absent', 'correct']]"
locus,"['leave', 'lorry', 'lotus', 'locus']","[['correct', 'absent', 'absent', 'absent', 'absent'], ['correct', 'correct', 'absent', 'absent', 'absent'], ['correct', 'correct', 'absent', 'correct', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
lento,"['fifes', 'debar', 'venue', 'teeth', 'vetch', 'getup']","[['absent', 'absent', 'absent', 'present', 'absent'], ['absent', 'correct', 'absent', 'absent', 'absent'], ['absent', 'correct', 'correct', 'absent', 'absent'], ['absent', 'correct', 'absent', 'correct', 'absent'], ['absent', 'correct', 'present', 'absent', 'absent'], ['absent', 'correct', 'present', 'absent', 'absent']]"
